ID,Vertices
1,"[(507, 411), (503, 353), (717, 314), (724, 373)]"
2,"[(569, 306), (570, 252), (765, 218), (763, 267)]"
3,"[(622, 183), (623, 231), (789, 194), (789, 142)]"
4,"[(667, 162), (668, 126), (813, 83), (819, 124)]"
5,"[(312, 400), (319, 435), (429, 420), (423, 383)]"
6,"[(374, 331), (482, 299), (490, 331), (381, 361)]"
7,"[(444, 260), (554, 220), (562, 246), (448, 284)]"
8,"[(498, 224), (495, 200), (604, 158), (613, 188)]"
9,"[(236, 458), (224, 433), (300, 408), (312, 434)]"
10,"[(286, 391), (272, 367), (349, 339), (363, 366)]"
11,"[(349, 324), (338, 304), (417, 267), (424, 295)]"
12,"[(713, 371), (508, 393), (506, 360), (688, 343)]"
